id пользователя;Вильямс;Шварц;Медник;Триандис;Друзья;Подписки;Подписки образование;Подписки опасные;% Подписки образование;% Подписки опасные;9_иностранные языки;8_философия;12_психология/педагогика;10_история/обществознание;7_филология/литература;5_техника и технологии;11_искусство/культура;4_математика;2_науки о земле;4_информатика;6_физика;3_химия;1_биология/медицина;3_16_юриспруденция;Преступный контент;Самоповреждающее поведение;Эстетика зла;Ненависть и агрессия и агрессия;Оружие ;Психоактивные вещества;Национализм;Депрессивный контент;Субкультура True Crime;Вульгарный контент;Суицидальный контент;Жестокий контент;Эстетика смерти;Оружие
5;3;1;;1;32;5;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;1;;2;1461;158;12;0;7,6%;0,0%;1;1;3;2;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2581;3;2;;3;53;56;2;1;3,6%;1,8%;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5974;3;2;1;2;155;22;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5983;1;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5982;2;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5976;2;1;2;2;520;162;5;2;3,1%;1,2%;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
5977;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5979;2;2;2;1;267;191;3;11;1,6%;5,8%;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;2;0;0;0;0
5981;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5975;2;2;2;3;392;101;1;2;1,0%;2,0%;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
5978;3;3;3;2;115;11;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5985;2;3;2;1;0;0;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5986;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5980;2;2;2;2;59;49;0;3;0,0%;6,1%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
5987;2;3;2;3;0;1;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5988;2;2;3;3;447;296;6;9;2,0%;3,0%;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0;2;0;0;0;0
5989;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
